timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770193922700,227.73,74.60,107315200,64126976,41335016,39.42,3091624
1770193922802,227.86,74.64,107331584,64126976,41339616,39.42,3091680
1770193922903,242.62,76.58,108068864,64389120,42178520,40.22,3093021
1770193923004,242.93,76.66,108068864,64389120,42181304,40.23,3093021
1770193923105,247.28,78.03,108560384,64389120,42554400,40.58,3094361
1770193923206,247.42,78.08,108576768,64389120,42556728,40.59,3094361
1770193923307,247.65,78.15,108576768,64389120,42559032,40.59,3094361
1770193923407,252.77,80.03,108986368,64389120,42871368,40.89,3095701
1770193923508,252.96,80.08,108986368,64389120,42873728,40.89,3095701
1770193923610,272.44,86.05,114147328,68468736,40822656,38.93,3105233
1770193923710,272.93,86.15,114163712,68468736,40825048,38.93,3105233
1770193923811,273.46,86.31,114196480,68730880,41035408,39.13,3105233
1770193923913,279.18,88.32,114278400,68730880,41394088,39.48,3101195
1770193924013,279.42,88.39,114278400,68730880,41396160,39.48,3101195
1770193924114,281.79,89.47,114311168,68730880,41705040,39.77,3102535
1770193924215,281.99,89.56,114311168,68730880,41707112,39.78,3102535
1770193924316,282.12,89.63,114311168,68730880,41709160,39.78,3102535
1770193924417,284.73,90.93,114376704,68730880,42314696,40.35,3113403
1770193924518,284.88,90.97,114376704,68730880,42316768,40.36,3113403
1770193924619,288.61,92.97,114376704,68730880,42831200,40.85,3115413
1770193924720,289.65,93.59,114393088,68730880,42983640,40.99,3116079
1770193924821,289.81,93.65,114393088,68730880,42985712,40.99,3116079
1770193924923,298.59,97.87,114409472,68730880,43601984,41.58,3126947
1770193925023,298.72,97.92,114409472,68730880,43604056,41.58,3126947
1770193925124,306.56,101.44,114458624,68730880,44210104,42.16,3129623
1770193925225,306.70,101.50,114458624,68730880,44212176,42.16,3129623
1770193925326,307.03,101.61,114458624,68730880,44214224,42.17,3129623
1770193925427,312.34,104.58,114475008,68730880,44820056,42.74,3140491
1770193925528,312.53,104.64,114475008,68730880,44822128,42.75,3140491
1770193925629,321.72,108.49,114507776,68730880,45427736,43.32,3143167
1770193925729,321.87,108.54,114507776,68730880,45429808,43.33,3143167
1770193925830,322.16,108.66,114507776,68730880,45431856,43.33,3143167
1770193925931,331.17,112.51,114540544,68730880,46037864,43.91,3154035
1770193926032,331.49,112.62,114540544,68730880,46039936,43.91,3154035
1770193926132,341.69,116.12,114622464,68730880,46777928,44.61,3156711
1770193926233,341.98,116.17,114622464,68730880,46780000,44.61,3156711
1770193926334,342.21,116.26,114622464,68730880,46782016,44.61,3156711
1770193926436,354.41,120.15,114688000,68730880,47388032,45.19,3167579
1770193926537,354.69,120.27,114688000,68730880,47390120,45.19,3167579
1770193926638,361.24,123.71,114704384,68730880,47994184,45.77,3170255
1770193926738,361.40,123.77,114704384,68730880,47996272,45.77,3170255
1770193926839,361.61,123.85,114704384,68730880,47998336,45.77,3170255
1770193926940,367.77,125.28,114720768,68730880,48604336,46.35,3181125
1770193927041,367.88,125.31,114720768,68730880,48606424,46.35,3181125
1770193927142,377.43,129.17,121651200,76070912,41589144,39.66,3100522
1770193927244,377.56,129.22,121651200,76070912,41591200,39.66,3100522
1770193927345,377.80,129.33,121651200,76070912,41593232,39.67,3100522
1770193927446,389.21,133.37,121667584,76070912,42184280,40.23,3111392
1770193927548,389.44,133.47,121667584,76070912,42186288,40.23,3111392
1770193927648,395.31,137.05,121667584,76070912,42746864,40.77,3114070
1770193927749,395.44,137.11,121667584,76070912,42748872,40.77,3114070
1770193927850,395.59,137.19,121667584,76070912,42750856,40.77,3114070
1770193927952,398.53,139.00,121683968,76070912,43311648,41.31,3124940
1770193928053,398.66,139.06,121683968,76070912,43313656,41.31,3124940
1770193928154,439.08,143.94,123518976,76070912,43876888,41.84,3127618
1770193928256,440.80,144.07,123584512,76333056,44083616,42.04,3127618
1770193928357,441.05,144.20,123584512,76333056,44085600,42.04,3127618
1770193928459,449.97,146.82,123600896,76333056,44645648,42.58,3138488
1770193928560,450.21,146.98,123600896,76333056,44647656,42.58,3138488
1770193928661,485.52,151.43,123863040,76333056,45438448,43.33,3141166
1770193928762,485.67,151.47,123863040,76333056,45440456,43.34,3141166
1770193928862,485.95,151.61,123863040,76333056,45442440,43.34,3141166
1770193928963,491.93,155.22,123879424,76333056,46034512,43.90,3152036
1770193929064,492.04,155.26,123879424,76333056,46036520,43.90,3152036
